1;;2;;3;;4;;5;;6;
1;;1;M1099;21;M1065;41;;61;M0517;97;M0951
2;M0995;2;M1100;22;M1005;42;M1071;62;M0918;98;M0980
3;;3;;23;M1006;43;M0963;63;M0919;99;M1077
4;M0727;4;;24;M1083;44;M0862;64;M0545;100;M1078
5;M0728;5;;25;M1084;45;M1060;65;M0902;101;M0953
6;M0958;6;;26;M1093;46;M1087;66;M0903;102;M0954
7;M1021;7;M1091;27;M1095;47;M0890;67;M0904;103;M1075
8;M0518;8;M1090;28;M1047;48;M0973;68;M0974;104;M1098
9;;9;M1089;29;M1048;49;M0892;69;;105;M1039
10;M0843;10;M1030;30;M1066;50;M0893;70;M0922;106;M1040
11;;11;;31;M1055;51;M0894;71;M0923;107;M1064
12;;12;;32;M1056;52;M0895;72;M1010;108;M1063
13;M0548;13;;33;M1092;53;M1088;73;M1011;109;M1096
14;M0547;14;;34;M1094;54;M0889;74;M0881;110;M1097
15;M0659;15;M1058;35;M1057;55;M0888;75;M1015;111;M1079
16;M0822;16;M1049;36;M1067;56;M0885;76;M0771;112;M1080
17;;17;M1050;37;M1068;57;M0886;77;M0772;113;M1081
18;M0685;18;;38;M1045;58;M0887;78;M0801;114;M1082
19;M0660;19;;39;M1046;59;M0896;79;M0802;115;M1069
20;M0697;20;;40;M1072;60;M0897;80;M0905;116;M1070
;;;;;;;;81;M0906;117;
;;;;;;;;82;M0806;118;M0924
;;;;;;;;83;M0911;119;M0979
;;;;;;;;84;M0866;120;M0926
;;;;;;;;85;M0865;121;M0956
;;;;;;;;86;M1022;122;M0928
;;;;;;;;87;M0827;123;M0929
;;;;;;;;88;M0828;124;M0930
;;;;;;;;89;M0833;125;M0955
;;;;;;;;90;M0836;126;M0932
;;;;;;;;91;;127;M0933
;;;;;;;;92;M0844;128;M0971
;;;;;;;;93;M0908;129;M0972
;;;;;;;;94;M0841;130;
;;;;;;;;95;M0842;131;M1086
;;;;;;;;96;M1023;132;M1085
